,index,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
0,0,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False
1,1,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False
2,2,3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,False
3,3,3,VenusaurMega Venusaur,Grass,Poison,80,100,123,122,120,80,1,False
4,16,13,Weedle,Bug,Poison,40,35,30,20,20,50,1,False
5,17,14,Kakuna,Bug,Poison,45,25,50,25,25,35,1,False
6,18,15,Beedrill,Bug,Poison,65,90,40,45,80,75,1,False
7,19,15,BeedrillMega Beedrill,Bug,Poison,65,150,40,15,80,145,1,False
8,48,43,Oddish,Grass,Poison,45,50,55,75,65,30,1,False
9,49,44,Gloom,Grass,Poison,60,65,70,85,75,40,1,False
10,50,45,Vileplume,Grass,Poison,75,80,85,110,90,50,1,False
11,53,48,Venonat,Bug,Poison,60,55,50,40,55,45,1,False
12,54,49,Venomoth,Bug,Poison,70,65,60,90,75,90,1,False
13,75,69,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,False
14,76,70,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,False
15,77,71,Victreebel,Grass,Poison,80,105,65,100,70,70,1,False
16,78,72,Tentacool,Water,Poison,40,40,35,50,100,70,1,False
17,79,73,Tentacruel,Water,Poison,80,70,65,80,120,100,1,False
18,99,92,Gastly,Ghost,Poison,30,35,30,100,35,80,1,False
19,100,93,Haunter,Ghost,Poison,45,50,45,115,55,95,1,False
20,101,94,Gengar,Ghost,Poison,60,65,60,130,75,110,1,False
21,102,94,GengarMega Gengar,Ghost,Poison,60,65,80,170,95,130,1,False
22,110,102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,False
23,111,103,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,False
24,122,114,Tangela,Grass,,65,55,115,100,40,60,1,False
25,166,152,Chikorita,Grass,,45,49,65,49,65,45,2,False
26,167,153,Bayleef,Grass,,60,62,80,63,80,60,2,False
27,168,154,Meganium,Grass,,80,82,100,83,100,80,2,False
28,181,167,Spinarak,Bug,Poison,40,60,40,40,40,30,2,False
29,182,168,Ariados,Bug,Poison,70,90,70,60,60,40,2,False
30,197,182,Bellossom,Grass,,75,80,95,90,100,50,2,False
31,202,187,Hoppip,Grass,Flying,35,35,40,35,55,50,2,False
32,203,188,Skiploom,Grass,Flying,55,45,50,45,65,80,2,False
33,204,189,Jumpluff,Grass,Flying,75,55,70,55,95,110,2,False
34,206,191,Sunkern,Grass,,30,30,30,30,30,30,2,False
35,207,192,Sunflora,Grass,,75,75,55,105,85,30,2,False
36,227,211,Qwilfish,Water,Poison,65,95,75,55,55,85,2,False
37,272,252,Treecko,Grass,,40,45,35,65,55,70,3,False
38,273,253,Grovyle,Grass,,50,65,45,85,65,95,3,False
39,274,254,Sceptile,Grass,,70,85,65,105,85,120,3,False
40,275,254,SceptileMega Sceptile,Grass,Dragon,70,110,75,145,85,145,3,False
41,292,269,Dustox,Bug,Poison,60,50,70,50,90,65,3,False
42,296,273,Seedot,Grass,,40,40,50,30,30,30,3,False
43,297,274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,False
44,298,275,Shiftry,Grass,Dark,90,100,60,90,60,80,3,False
45,309,285,Shroomish,Grass,,60,40,60,40,60,35,3,False
46,310,286,Breloom,Grass,Fighting,60,130,80,60,60,70,3,False
47,344,315,Roselia,Grass,Poison,50,60,45,100,80,65,3,False
48,362,331,Cacnea,Grass,,50,85,40,85,40,35,3,False
49,363,332,Cacturne,Grass,Dark,70,115,60,115,60,55,3,False
50,390,357,Tropius,Grass,Flying,99,68,83,72,87,51,3,False
51,432,387,Turtwig,Grass,,55,68,64,45,55,31,4,False
52,433,388,Grotle,Grass,,75,89,85,55,65,36,4,False
53,434,389,Torterra,Grass,Ground,95,109,105,75,85,56,4,False
54,451,406,Budew,Grass,Poison,40,30,35,50,70,55,4,False
55,452,407,Roserade,Grass,Poison,60,70,65,125,105,90,4,False
56,467,420,Cherubi,Grass,,45,35,45,62,53,35,4,False
57,468,421,Cherrim,Grass,,70,60,70,87,78,85,4,False
58,505,455,Carnivine,Grass,,74,100,72,90,72,46,4,False
59,509,459,Snover,Grass,Ice,60,62,50,62,60,40,4,False
60,510,460,Abomasnow,Grass,Ice,90,92,75,92,85,60,4,False
61,511,460,AbomasnowMega Abomasnow,Grass,Ice,90,132,105,132,105,30,4,False
62,516,465,Tangrowth,Grass,,100,100,125,110,50,50,4,False
63,521,470,Leafeon,Grass,,65,110,130,60,65,95,4,False
64,550,492,ShayminLand Forme,Grass,,100,100,100,100,100,100,4,True
65,551,492,ShayminSky Forme,Grass,Flying,100,103,75,120,75,127,4,True
66,554,495,Snivy,Grass,,45,45,55,45,55,63,5,False
67,555,496,Servine,Grass,,60,60,75,60,75,83,5,False
68,556,497,Serperior,Grass,,75,75,95,75,95,113,5,False
69,570,511,Pansage,Grass,,50,53,48,53,48,64,5,False
70,571,512,Simisage,Grass,,75,98,63,98,63,101,5,False
